,floor,size,exterior,rooms,bathrooms,latitude,longitude,hasLift,hasParkingSpace,IncludedInPrice,price_amount,propertyType_chalet,propertyType_countryHouse,propertyType_duplex,propertyType_flat,propertyType_penthouse,propertyType_studio,status_good,status_newdevelopment,status_renew,district_Buenavista-Ería-Montecerrao,district_Carbayin-Lieres-Valdesoto,district_Celorio-Poó-Parres,district_Centro,district_Centro-Casco Histórico,district_Ciudad Naranco-Vallobín-La Florida,district_Corredoria-Huca-Teatinos,district_Cué-San Roque-Andrín,district_El Berrón-La Carrera,district_El Carbayedo - El Quirinal,district_El Llano,district_El Pozón - Villalegre - La Luz,district_Este,district_Figaredo - Turón,district_Fozaneldi-Tenderina-Ventanielles,district_Jardín de Cantos - El Nodo,district_La Felguera,district_La Fresneda,district_La Manjoya-Parroquias Sur,district_La Pola Siero,district_La Villa - Bazuelo,district_Llanes,district_Luanco - Aramar - Antromero,district_Lugones,district_Oeste,district_Parroquias Norte,district_Parroquias Norte-Naranco,district_Parroquias suroccidentales,district_Parroquias surorientales,district_Periurbano,district_Piedras Blancas,district_Pillarno,district_Posada-Barro,district_Pría-Nueva-Hontoria-Naves,district_Quintes - Arroes,district_Requejo - Rozaes - Oñón,district_San Claudio-Trubia-Las Caldas,district_San Lazaro-Otero-Villafría,district_San Pedro - Siana,district_Selorio - Tornón,district_Somió - Cabueñes,district_Sur,district_Tazones - Argüero,district_Vidiago-Pendueles-Tresgrandas,district_Viella-Granda-Meres
4266,-0.7749695516728732,-0.3564015689288152,0,-0.7795878597552803,-0.13339117697415515,-0.018412543150966177,-0.5754964136304231,0,0,0,215000.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2902,1.4255309202409006,-0.46725260685736186,1,-0.2445179713496239,-0.13339117697415515,-0.5677652007250235,-0.4195089502120498,0,0,0,89000.0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2563,-0.3348694572901184,-0.49496536633949856,1,-0.2445179713496239,-0.13339117697415515,0.9408801111934249,0.09754062506119399,1,1,1,269000.0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
1702,0.10523063709263637,-0.47279515875378925,1,-0.2445179713496239,-0.13339117697415515,1.1632657322965134,0.09956844246950323,1,0,0,265000.0,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2975,-0.3348694572901184,-0.5670185409930539,1,-0.7795878597552803,-0.13339117697415515,1.1732847889229663,0.12224005682291562,1,0,0,320000.0,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1664,0.10523063709263637,-0.6113589561644726,0,-0.7795878597552803,-0.7650583906877475,-1.3788162084756093,-0.15436208412233535,0,0,0,12500.0,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
3268,-0.7749695516728732,1.2620235848279666,0,0.29055191705603256,-0.13339117697415515,-0.32826147461291355,0.12672915361677553,0,1,1,465000.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4078,0.10523063709263637,-0.6778695789216006,1,-0.7795878597552803,-0.7650583906877475,-2.0465818994147953,0.4403319467728389,0,0,0,27000.0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4004,0.5453307314753911,-0.7942631687465747,0,-1.314657748160937,-0.7650583906877475,-0.5849305933167949,-0.38254671292191206,1,0,0,124500.0,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3033,3.1859312977719196,-0.5947313004751906,1,-0.7795878597552803,-0.7650583906877475,1.0965508340919707,0.1555408890142666,1,0,0,249000.0,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
